Key,english
perkLivingOffTheLandRank1BWLongDesc,"Green things reward patient hands. Harvest up to 2x crops and +2 extra crops from crop and wild-plant harvests. Farming crafting recipes remain locked at this rank."
perkLivingOffTheLandRank2BWLongDesc,"Green things reward patient hands. Harvest up to 3x crops and +4 extra crops from crop and wild-plant harvests. Farming crafting recipes remain locked at this rank."
perkLivingOffTheLandRank3BWLongDesc,"Green things reward patient hands. Harvest up to 4x crops and +6 extra crops from crop and wild-plant harvests. Farming crafting recipes remain locked at this rank."
perkPackMuleRank1BWLongDesc,"Burden becomes discipline, then strength. Unlock 3 more inventory slots, gain 10% stamina regeneration and 5% run/walk speed. Pocket mods now provide 1 time the amount of their base slots. Base slots stack with the bonus ones. Your backpack has 5% chance to block 100% of incoming damage when hit. (Does not prevent being set on fire by feral burnt zombies, applies to all levels)"
perkPackMuleRank2BWLongDesc,"Burden becomes discipline, then strength. Unlock 6 more inventory slots, gain 10% stamina regeneration and 9% run/walk speed. Pocket mods now provide 2 times the amount of their base slots. Base slots stack with the bonus ones. Your backpack has 10% chance to block 100% of incoming damage when hit."
perkPackMuleRank3BWLongDesc,"Burden becomes discipline, then strength. Unlock 10 more inventory slots, gain 10% stamina regeneration and 12% run/walk speed. Pocket mods now provide 3 times the amount of their base slots. Base slots stack with the bonus ones. Your backpack has 15% chance to block 100% of incoming damage when hit."
perkPackMuleRank4BWLongDesc,"Burden becomes discipline, then strength. Unlock 14 more inventory slots, gain 10% stamina regeneration and 16% run/walk speed. Pocket mods now provide 4 times the amount of their base slots. Base slots stack with the bonus ones. Your backpack has 20% chance to block 100% of incoming damage when hit."
perkPackMuleRank5BWLongDesc,"Burden becomes discipline, then strength. Unlock 18 more inventory slots, gain 10% stamina regeneration and 20% run/walk speed. Pocket mods now provide 5 times the amount of their base slots. Base slots stack with the bonus ones. Your backpack has 25% chance to block 100% of incoming damage when hit."
perkArcheryRank1BWLongDesc,"Feathers whisper before the string sings. Archery weapons deal 20% more entity damage as well as degrading 10% less. Aim 20% faster. 20% Draw and reload speed with bows and crossbows. 10 bonus projectile velocity and flat headshot damage for archery weapons. 20% spread while ADS for bows. 10% spread while ADS for crossbows. 5/10/15% projectile stick chance for tier 1/2/3 archery weapons. 2% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot."
perkArcheryRank2BWLongDesc,"Feathers whisper before the string sings. Archery weapons deal 40% more entity damage as well as degrading 15% less. Aim 40% faster. 40% draw and reload speed with bows and crossbows. 15 bonus projectile velocity and flat headshot damage for archery weapons. 17% spread while ADS for bows. 8% spread while ADS for crossbows. 10/20/30% projectile stick chance for tier 1/2/3 archery weapons. 4% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot."
perkArcheryRank3BWLongDesc,"Feathers whisper before the string sings. Archery weapons deal 60% more entity damage as well as degrading 20% less. Aim 60% faster. 60% draw and reload speed with bows and crossbows. 20 bonus projectile velocity and flat headshot damage for archery weapons. 12% spread while ADS for bows. 6% spread while ADS for crossbows. 15/30/45% projectile stick chance for tier 1/2/3 archery weapons. 6% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot."
perkArcheryRank4BWLongDesc,"Feathers whisper before the string sings. Archery weapons deal 80% more entity damage as well as degrading 25% less. Aim 80% faster. 80% Draw and reload speed with bows and crossbows. 25 bonus projectile velocity and flat headshot damage for archery weapons. 7% spread while ADS for bows. 4% spread while ADS for crossbows. 20/40/60% projectile stick chance for tier 1/2/3 archery weapons. 8% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot."
perkArcheryRank5BWLongDesc,"Feathers whisper before the string sings. Archery weapons deal 100% more entity damage as well as degrading 30% less. Aim 100% faster. 100% draw and reload speed with bows and crossbows. 30 bonus projectile velocity and flat headshot damage for archery weapons. 2% spread while ADS for bows. 2% spread while ADS for crossbows. 25/50/75% projectile stick chance for tier 1/2/3 archery weapons. 10% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot. Unlock the recipe to craft the electric arrow/bolt."
perkLockPickingRank1BWLongDesc,"Locks tell their secrets to gentle pressure. Pick locks 15% faster, reduce break chance by 10%, and gain +15% cash, dukes, and gem loot."
perkLockPickingRank2BWLongDesc,"Locks tell their secrets to gentle pressure. Pick locks 25% faster, reduce break chance by 20%, and gain +30% cash, dukes, and gem loot."
perkLockPickingRank3BWLongDesc,"Locks tell their secrets to gentle pressure. Pick locks 35% faster, reduce break chance by 30%, and gain +45% cash, dukes, and gem loot."
perkGreaseMonkeyRank1BWLongDesc,"Engines answer the hands that know them. Repair kits restore 10% more vehicle durability. Bicycles cost 33% fewer resources to craft. Salvage tools can harvest forged steel from destroyed vehicles, at 20% of the vehicle steel yield. Gain 2% more chance to find Vehicle Adventures magazines and 10% more chance to find repair kits and vehicle mod schematics in loot."
perkGreaseMonkeyRank2BWLongDesc,"Engines answer the hands that know them. Repair kits restore 20% more vehicle durability. Minibikes cost 33% fewer resources to craft. Salvage tools harvest 40% forged steel from destroyed vehicles. Gain 4% more chance to find Vehicle Adventures magazines and 15% more chance to find repair kits and vehicle mod schematics in loot."
perkGreaseMonkeyRank3BWLongDesc,"Engines answer the hands that know them. Repair kits restore 30% more vehicle durability. Motorcycles cost 33% fewer resources to craft. Salvage tools harvest 60% forged steel from destroyed vehicles. Gain 6% more chance to find Vehicle Adventures magazines and 20% more chance to find repair kits and vehicle mod schematics in loot. Unlock the unique motorcycle chassis improvement recipe."
perkGreaseMonkeyRank4BWLongDesc,"Engines answer the hands that know them. Repair kits restore 40% more vehicle durability. 4x4 trucks cost 33% fewer resources to craft. Salvage tools harvest 80% forged steel from destroyed vehicles. Gain 8% more chance to find Vehicle Adventures magazines and 25% more chance to find repair kits and vehicle mod schematics in loot. Unlock the unique car and truck chassis improvement recipe."
perkGreaseMonkeyRank5BWLongDesc,"Engines answer the hands that know them. Repair kits restore 50% more vehicle durability. Gyrocopters cost 33% fewer resources to craft. Salvage tools harvest 100% forged steel from destroyed vehicles. Gain 10% more chance to find Vehicle Adventures magazines and 30% more chance to find repair kits and vehicle mod schematics in loot. Unlock the unique flying-vehicle chassis improvement recipe."
perkSkullCrusherRank1BWLongDesc,"Weight, timing, and ruin meet in one swing. Sledgehammers deal 10% more damage as well as degrading 10% less. Power attacks have a 15% chance to knock down enemies. Stamina costs are reduced by 20% for both attacks. Killing blows grant 10 stamina. 2% more chance of finding Sledgehammers, parts, Get Hammered magazines and sledgehammer saga perk books in loot. Deal 100% more damage to doors and safes. Gain 2% attack speed with sledgehammers."
perkSkullCrusherRank2BWLongDesc,"Weight, timing, and ruin meet in one swing. Sledgehammers deal 20% more damage as well as degrading 15% less. Power attacks have a 30% chance to knock down enemies. Stamina costs are reduced by 30% for both attacks. Killing blows grant 20 stamina. 4% more chance of finding Sledgehammers, parts, Get Hammered magazines and sledgehammer saga perk books in loot. Deal 130% more damage to doors and safes. Gain 4% attack speed with sledgehammers."
perkSkullCrusherRank3BWLongDesc,"Weight, timing, and ruin meet in one swing. Sledgehammers deal 30% more damage as well as degrading 20% less. Power attacks have a 45% chance to knock down enemies and a 20% chance to knock down nearby foes. Stamina costs are reduced by 40% for both attacks. Killing blows grant 30 stamina. 6% more chance of finding Sledgehammers, parts, Get Hammered magazines and sledgehammer saga perk books in loot. Deal 160% more damage to doors and safes. Gain 6% attack speed with sledgehammers."
perkSkullCrusherRank4BWLongDesc,"Weight, timing, and ruin meet in one swing. Sledgehammers deal 40% more damage as well as degrading 25% less. Power attacks have a 60% chance to knock down enemies and a 35% chance to knock down nearby foes. Stamina costs are reduced by 50% for both attacks. Killing blows grant 40 stamina. 8% more chance of finding Sledgehammers, parts, Get Hammered magazines and sledgehammer saga perk books in loot. Deal 190% more damage to doors and safes. Gain 8% attack speed with sledgehammers."
