Key,File,Type,UsedInMainMenu,NoTranslate,english,japanese
craftingWakaBagLayerName,progression,Skill,,,Bag Layer,バッグレイヤー
craftingWakaBagLayerDesc,progression,Skill,,,"Chest-mounted bag mods that raise your carry capacity. Crafted, not looted.","胸装備に組み込むバッグ系mod。集めるのではなく、自分で作り上げる。"
modArmorWakaBagLayerSmallPouch,items,Item,,,Small Pouch,小さなポーチ
modArmorWakaBagLayerSmallPouchDesc,items,Item,,,"A scrap-cloth pouch lashed to your chest. Marginal, but better than nothing. (+3 carry capacity)","胸元にくくりつけた間に合わせのポーチ。微々たる助けでも、何も持たないよりはずっといい。（持てる量+3）"
modArmorWakaBagLayerSideBag,items,Item,,,Side Bag,サイドバッグ
modArmorWakaBagLayerSideBagDesc,items,Item,,,"A worn leather side bag, sewn from scavenged hides. The first real bit of breathing room. (+6 carry capacity)","拾い集めた革で縫い合わせたサイドバッグ。ようやくまともに息がつけるようになる。（持てる量+6）"
modArmorWakaBagLayerDayPack,items,Item,,,Day Pack,デイパック
modArmorWakaBagLayerDayPackDesc,items,Item,,,"A reinforced day pack with mechanical fasteners. Standard issue for any serious raid. (+9 carry capacity)","金属の留め具で補強されたデイパック。本気の遠征に出るならこれは要る。（持てる量+9）"
modArmorWakaBagLayerHauler,items,Item,,,Hauler,ハウラー
modArmorWakaBagLayerHaulerDesc,items,Item,,,"A heavy-duty hauler rig stitched from polymer-laced leather. Built for the long round trip. (+12 carry capacity)","ポリマー繊維入りの革で組んだ大型運搬リグ。長い往復行を前提とした作り。（持てる量+12）"
modArmorWakaBagLayerExpedition,items,Item,,,Expedition,遠征バッグ
modArmorWakaBagLayerExpeditionDesc,items,Item,,,"An end-game expedition pack: legendary frame, military-grade webbing, every ounce of capacity squeezed out of the design. (+15 carry capacity)","終盤の遠征装備：規格外のフレームに軍仕様のウェビングを巡らせ、容量を限界まで搾り出した一品。（持てる量+15）"
