Key,english

# =============================================================================
# Waka Perk Boost v0.1 - Localization.txt
# Overwrites Black Wolf's perkXxxRankNBWLongDesc keys with Bloodfall-flavored,
# numerically-updated long descriptions. English only - JP loc patches override
# this further if needed.
# =============================================================================

# ===== Archery =====
perkArcheryRank1BWLongDesc,"Quiet has always been the archer's first arrow. In Bloodfall's red dawn, that silence feeds you. +30% entity damage and +15% block damage with bows and crossbows. Draw 30% faster, reload 30% faster, ADS 80% spread. +20 projectile velocity, +20 flat headshot damage. 5/10/15% projectile stick on T1/T2/T3. Arrows degrade 10% slower. +2% chance for archery loot and Bow Hunter / Ranger magazines."
perkArcheryRank2BWLongDesc,"You read the wind now. Each draw burns a little less of you. +60% entity damage, +30% block damage. Draw 60% faster, reload 60% faster, ADS 65% spread. +40 projectile velocity, +40 flat headshot damage. 10/20/30% stick. Arrows degrade 15% slower. +4% chance for archery loot."
perkArcheryRank3BWLongDesc,"The bowstring sings in tune with the storm. +90% entity damage, +45% block damage. Draw 90% faster, reload 90% faster, ADS 50% spread. +60 projectile velocity, +60 flat headshot damage. 15/30/45% stick. Arrows degrade 20% slower. +6% chance for archery loot."
perkArcheryRank4BWLongDesc,"Range is no longer guesswork. +120% entity damage, +60% block damage. Draw 120% faster, reload 120% faster, ADS 35% spread. +80 projectile velocity, +80 flat headshot damage. 20/40/60% stick. Arrows degrade 25% slower. +8% chance for archery loot."
perkArcheryRank5BWLongDesc,"You've earned the long shot. The dead never hear it coming. +150% entity damage, +75% block damage. Draw 150% faster, reload 150% faster, ADS 20% spread. +100 projectile velocity, +100 flat headshot damage. 25/50/75% stick. Arrows degrade 30% slower. +10% chance for archery loot. Unlock the recipe to craft electric arrows and bolts."

# ===== Brawler =====
perkBrawlerRank1BWLongDesc,"Knuckles are the first weapon and the last. In Bloodfall, that's not metaphor. +15% entity damage and +30% block damage with knuckles. Knuckles degrade 10% slower. +2% chance for knuckle loot, brawling magazines, and Bar Brawling perk books."
perkBrawlerRank2BWLongDesc,"Each impact drives the breath out cleaner. +30% entity damage, +60% block damage. Knuckles degrade 15% slower. +4% loot chance. Killing with knuckles restores 15 stamina."
perkBrawlerRank3BWLongDesc,"You feel the rhythm of the brawl. +45% entity damage, +90% block damage. Knuckles degrade 20% slower. +6% loot chance. Killing with knuckles restores 20 stamina."
perkBrawlerRank4BWLongDesc,"Bone-cracking precision. +60% entity damage, +120% block damage. Knuckles degrade 25% slower. +8% loot chance. Killing with knuckles restores 25 stamina."
perkBrawlerRank5BWLongDesc,"Hands of the wasteland. +75% entity damage, +150% block damage. Knuckles degrade 30% slower. +10% loot chance. Killing with knuckles restores 35 stamina."

# ===== Deep Cuts =====
perkDeepCutsRank1BWLongDesc,"A blade is a question the dead must answer in red. +15% entity damage, +30% block damage with knives. Knives swing 10% faster. Hitting an enemy adds 2 to a bleed counter; reaching threshold applies bleeding. Dismembers add 75 bleed instantly. Knives degrade 10% slower."
perkDeepCutsRank2BWLongDesc,"You learn where the seams of a body run. +30% entity damage, +60% block damage. Knives swing 20% faster. Bleed +4 per hit. Knives degrade 15% slower."
