Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

# === Armor Rebalance (re-translated) ===
armorPreacherHelmetDesc,items,Clothes,,,,,,,,,ライトアーマー\n親切と公正、英雄的行為を積み重ねた説教者の前向きさは、彼に余分な体力を授けた。最大体力上昇。\n\nフルセットボーナス：\n重症デバフを受ける確率が低下する。,,,,,,,
armorPreacherGlovesDesc,items,Clothes,,,,,,,,,ライトアーマー\n汝の敵を打ち倒せ。アンデッドへ与えるダメージが増加する。\n\nフルセットボーナス：\n重症デバフを受ける確率が低下する。,,,,,,,
armorEnforcerHelmetDesc,items,Clothes,,,,,,,,,ライトアーマー\nこの装いでデキる男に。物々交換の値引き率と.44系銃火器の取り回しが向上する。\n\nフルセットボーナス：\n.44弾のダメージとマグナム／デザートヴァルチャーのリロード速度が上昇する。,,,,,,,
buffRogueSetBonusDesc,buffs,Buff,,,,,,,,,ローグには、他者が見逃すような戦利品を見つけ出す天性の勘がある。\n\n略奪時、旧紙幣とデュークを{cvar(.armorRogueFSBDisplay:0)}%多く発見し、戦利品の質が{cvar(.armorRogueFSBDisplay2:0)}%向上する。,,,,,,,
armorRogueHelmetDesc,items,Clothes,,,,,,,,,ライトアーマー\n狡猾な盗賊はあらゆる錠を開け、戦利品を最高値で売り捌く。ピッキング速度・成功率と物々交換の値引き率が上昇する。\n\nフルセットボーナス：略奪時に旧紙幣とデュークを多く発見し、ルートステージが上昇する。,,,,,,,
armorRogueGlovesDesc,items,Clothes,,,,,,,,,ライトアーマー\nスニークが破綻した時、ローグはいつでも撃ち合う準備ができている。9mmピストルとSMGのダメージが上昇する。\n\nフルセットボーナス：略奪時に旧紙幣とデュークを多く発見し、ルートステージが上昇する。,,,,,,,
armorRogueBootsDesc,items,Clothes,,,,,,,,,ライトアーマー\n激しい衝撃に耐えるよう設計されたこのブーツは、落下ダメージから身を守る。安全な落下距離が伸びる。\n\nフルセットボーナス：略奪時に旧紙幣とデュークを多く発見し、ルートステージが上昇する。,,,,,,,
armorRogueOutfitDesc,items,Clothes,,,,,,,,,ライトアーマー\n盗人は気付かれずに侵入し、気付かれずに脱出する術を心得ている。スニーク性能が向上する。\n\nフルセットボーナス：略奪時に旧紙幣とデュークを多く発見し、ルートステージが上昇する。,,,,,,,
buffAthleticSetBonusDesc,buffs,Buff,,,,,,,,,人間工学に基づいたアスリート装備のフィット感は、ピーク時のパフォーマンス維持を助ける。\n\n飢餓状態でなければ、毎秒.{cvar(.armorAthleticFSBDisplay:0)}追加の体力を回復する。,,,,,,,
armorAthleticHelmetDesc,items,Clothes,,,,,,,,,ライトアーマー\n食料と水の持ちが常人より遥かに良くなる。食料と水の消費量が減少する。\n\nフルセットボーナス：飢餓状態でなければ、毎秒追加の体力を回復する。,,,,,,,
armorAthleticBootsDesc,items,Clothes,,,,,,,,,ライトアーマー\n最速である必要はない、ただ最遅でなければいい。走行速度が上昇する。\n\nフルセットボーナス：飢餓状態でなければ、毎秒追加の体力を回復する。,,,,,,,
armorAthleticGlovesDesc,items,Clothes,,,,,,,,,ライトアーマー\n疲れ知らずの強いグリップ。最大スタミナが上昇する。\n\nフルセットボーナス：飢餓状態でなければ、毎秒追加の体力を回復する。,,,,,,,
armorAthleticOutfitDesc,items,Clothes,,,,,,,,,ライトアーマー\n運動神経は戦場での活力を高める。最大体力が上昇する。\n\nフルセットボーナス：飢餓状態でなければ、毎秒追加の体力を回復する。,,,,,,,
buffRangerSetBonusDesc,buffs,Buff,,,,,,,,,レンジャーの素早いリロードは、徹底した訓練・研ぎ澄まされたマッスルメモリー・戦術的な繊細さの賜物だ。\n\nライフルのリロード速度が{cvar(.armorRangerFSBDisplay:0)}%上昇する。,,,,,,,
armorRangerBootsDesc,items,Clothes,,,,,,,,,ミディアムアーマー\nより広いエリアを踏破し、より長く戦い続ける。最大スタミナが上昇する。\n\nフルセットボーナス：ライフルのリロード速度が上昇する。,,,,,,,
