Key,File,Type,UsedInMainMenu,NoTranslate,english,japanese
waka_zs_name_fatcop,entityclasses,Entity,false,false,"Kill Fat Cop Zombies","太った警官ゾンビを狩る"
waka_zs_name_fathawaiian,entityclasses,Entity,false,false,"Kill Fat Hawaiian Zombies","アロハ太鼓ゾンビを狩る"
waka_zs_name_femalefat,entityclasses,Entity,false,false,"Kill Fat Female Zombies","太った女性ゾンビを狩る"
waka_zs_name_lumberjack,entityclasses,Entity,false,false,"Kill Lumberjack Zombies","木こりゾンビを狩る"
waka_zs_name_rancher,entityclasses,Entity,false,false,"Kill Rancher Zombies","牧場主ゾンビを狩る"
waka_zs_name_spider,entityclasses,Entity,false,false,"Kill Spider Zombies","スパイダーゾンビを狩る"
waka_zs_name_wight,entityclasses,Entity,false,false,"Kill Wight Zombies","ワイトゾンビを狩る"
waka_zs_desc_fatcop,entityclasses,Entity,false,false,"Donut-fueled and bulletproof. Drop 50 Fat Cops.","ドーナツで肥え太った元警官。50体倒す。"
waka_zs_desc_fathawaiian,entityclasses,Entity,false,false,"He came for the luau, stayed for the apocalypse. Crush 50 Fat Hawaiians.","ルアウのまま終末へ。50体葬る。"
waka_zs_desc_femalefat,entityclasses,Entity,false,false,"Slow but heavy hitters. Down 50 Fat Female zombies.","遅いが一撃が重い。50体仕留める。"
waka_zs_desc_lumberjack,entityclasses,Entity,false,false,"Axe in hand, brain in pieces. Fell 50 Lumberjacks.","斧を握ったまま脳は腐った。50体伐り倒す。"
waka_zs_desc_rancher,entityclasses,Entity,false,false,"The herd turned, and so did he. Wrangle 50 Ranchers into the dirt.","家畜と共に堕ちた。50体土に還す。"
waka_zs_desc_spider,entityclasses,Entity,false,false,"They climb walls and drop on you. Squash 50 Spider zombies.","壁を這い、降ってくる。50体潰す。"
waka_zs_desc_wight,entityclasses,Entity,false,false,"The truly damned. Banish 50 Wights back to hell.","真に呪われし者。50体地獄へ送り返す。"
waka_zs_group_residents,entityclasses,Entity,false,false,"Resident Slayers","住人狩り"
waka_zs_group_workers,entityclasses,Entity,false,false,"Worker Slayers","働き手狩り"
waka_zs_group_specials,entityclasses,Entity,false,false,"Special Slayers","特殊個体狩り"
waka_zs_group_master,entityclasses,Entity,false,false,"Master Slayer","全制覇の証"
waka_zs_group_bloodfall,entityclasses,Entity,false,false,"Bloodfall Slayers","血降臨の狩人"
waka_zs_name_master,entityclasses,Entity,false,false,"Slayer Mastery Reward","制覇の褒美"
waka_zs_reward_text_ammo_ap,Challenges,Reward,false,false,"10000 XP and AP Ammo","10000 XPとAP弾"
